date,state,district,pincode,total,anomaly_score
2025-09-18,Delhi,South Delhi,110062,27,-0.010919449424959704
2025-09-18,Delhi,West Delhi,110059,38,-0.003428833848817092
2025-09-18,Jharkhand,Dhanbad,828109,38,-0.003428833848817092
2025-09-18,Jharkhand,Dhanbad,828205,50,-0.024556460524235324
2025-09-18,Rajasthan,Banswara,327001,40,-0.012005181752139271
2025-09-18,Rajasthan,Bharatpur,321203,38,-0.010490681977851968
2025-09-18,Rajasthan,Jalor,307029,51,-0.0015632842896066146
2025-09-18,Tamil Nadu,Karur,639102,36,-0.00476081883729651
2025-09-18,Uttar Pradesh,Bulandshahr,203001,35,-0.004298089637888913
2025-09-18,Uttar Pradesh,Ghaziabad,201001,43,-0.06253119947275121
2025-09-18,Uttar Pradesh,Rampur,244901,38,-0.010024077342637439
2025-09-18,Madhya Pradesh,Barwani,451666,56,-0.0927466379695413
2025-09-18,Maharashtra,Nandurbar,425414,40,-0.010024077342637439
2025-09-18,Maharashtra,Nashik,423203,54,-0.03315484354132181
2025-09-18,Meghalaya,West Khasi Hills,793119,20,-0.025092591803072217
2025-09-19,Uttar Pradesh,Bahraich,271865,14,-0.0016325197866472463
2025-09-19,Uttar Pradesh,Bahraich,271902,26,-0.01647173223543874
2025-09-19,Uttar Pradesh,Meerut,250001,33,-0.000825190316885438
2025-09-19,Uttar Pradesh,Moradabad,244001,54,-0.04492385229952345
2025-09-19,West Bengal,Murshidabad,742202,77,-0.0052806638156962515
2025-09-19,Delhi,North West Delhi,110086,34,-0.008645041329026104
2025-09-19,Maharashtra,Aurangabad,431001,58,-0.04443395853192733
2025-09-19,Maharashtra,Latur,413517,26,-0.019387556424901642
2025-09-19,Meghalaya,Ri Bhoi,793105,22,-0.03639120882256386
2025-09-19,Uttar Pradesh,Fatehpur,212601,33,-0.0026685754612169044
2025-09-19,Uttar Pradesh,Kanpur Nagar,208001,34,-0.045973712806467004
2025-09-19,Jharkhand,Sahebganj,816108,38,-0.023007073666570843
2025-09-19,Karnataka,Raichur,584139,26,-0.01694270074181936
2025-09-19,Madhya Pradesh,Bhind,477001,24,-0.001804011553473206
2025-09-19,Bihar,Sitamarhi,843302,36,-0.012847447052437788
2025-09-19,Chhattisgarh,Balrampur,497225,45,-0.02119035159423499
2025-09-19,Rajasthan,Jodhpur,342008,21,-0.028163685346939804
2025-09-19,Rajasthan,Jodhpur,342001,27,-0.05068358286100838
2025-09-19,Uttar Pradesh,Banda,210001,21,-0.002092011921911441
2025-09-19,Bihar,Jamui,811307,22,-0.004795900158680366
2025-09-19,Gujarat,Banaskantha,385535,36,-0.05597465126715806
2025-09-19,Uttar Pradesh,Pilibhit,262122,41,-0.022278251826368223
2025-09-19,West Bengal,Uttar Dinajpur,733202,47,-0.030652073771237798
2025-09-19,Madhya Pradesh,Indore,452001,38,-0.05239688416307264
2025-09-19,Maharashtra,Nandurbar,425414,37,-0.012379248401531373
2025-09-19,Maharashtra,Thane,421302,57,-0.04443395853192733
2025-09-19,Meghalaya,East Garo Hills,794111,30,-0.05553676448438494
2025-09-19,Meghalaya,West Khasi Hills,793119,58,-0.07990261526039166
2025-09-19,Uttar Pradesh,Saharanpur,247001,51,-0.03551411903328083
2025-09-19,West Bengal,North 24 Parganas,743423,24,-0.006529863846317596
2025-09-19,West Bengal,Uttar Dinajpur,733210,51,-0.020953034534631265
2025-09-19,Rajasthan,Jodhpur,342012,15,-0.017340587215503578
2025-09-19,Uttar Pradesh,Aligarh,202001,35,-0.048057003034695955
2025-09-19,Uttar Pradesh,Etah,207001,20,-0.014983126017783177
2025-09-19,Uttar Pradesh,Ghaziabad,201001,36,-0.05448355606096966
2025-09-19,Bihar,Gaya,824231,16,-0.003913638299736122
2025-09-19,Bihar,Khagaria,852161,33,-0.006553764057910971
2025-09-19,Bihar,Saran,841301,36,-0.05139231983728054
2025-09-19,Bihar,West Champaran,845438,25,-0.0158472393781921
2025-09-19,Gujarat,Banaskantha,385310,34,-0.026907005939550532
2025-09-19,Gujarat,Surendra Nagar,363520,26,-0.011107184880097876
2025-09-19,Madhya Pradesh,Gwalior,475110,30,-0.02069428752379443
2025-09-19,Madhya Pradesh,Khargone,451332,20,-0.002136773160097749
2025-09-19,Maharashtra,Nashik,423203,53,-0.07478269845644503
2025-09-19,Meghalaya,East Garo Hills,794110,16,-0.012223075117730797
2025-09-19,Meghalaya,East Khasi Hills,793110,16,-0.003495048787397259
2025-09-19,Meghalaya,West Garo Hills,794104,15,-0.0015080666341167337
2025-09-19,Meghalaya,West Jaintia Hills,793150,26,-0.04862126185821125
2025-09-19,Meghalaya,West Jaintia Hills,793151,27,-0.042695340232197454
2025-09-19,Odisha,Nabarangapur,764071,48,-0.019060232231258745
2025-09-19,Rajasthan,Jalor,343040,55,-0.00488625852632163
2025-09-19,Rajasthan,Jalor,343041,45,-0.014062959413876364
2025-09-19,Bihar,West Champaran,845455,22,-0.0053272275724111084
2025-09-19,Madhya Pradesh,Barwani,451666,31,-0.04598860423481388
2025-09-19,Madhya Pradesh,Jhabua,457661,49,-0.0325762900894313
2025-09-19,Uttar Pradesh,Meerut,250002,46,-0.03243499127430538
2025-09-19,West Bengal,Uttar Dinajpur,733207,54,-0.040182606601832926
2025-09-20,Bihar,Gaya,824206,32,-0.0050751735887094584
2025-09-20,Bihar,West Champaran,845438,39,-0.05556589353501751
2025-09-20,Delhi,West Delhi,110059,51,-0.07979607995792626
2025-09-20,Jharkhand,Sahebganj,816108,33,-0.0050751735887094584
2025-09-20,Jharkhand,West Singhbhum,833102,39,-0.0017808305717708084
2025-09-20,Madhya Pradesh,Barwani,451666,30,-0.0027635935352834373
2025-09-20,Madhya Pradesh,Jhabua,457661,48,-0.037509533784375715
2025-09-20,Uttar Pradesh,Bahraich,271825,22,-0.020484783857017463
2025-09-20,Uttar Pradesh,Bahraich,271830,18,-0.023827182048994033
2025-09-20,Uttar Pradesh,Ghaziabad,201001,43,-0.07162194646305398
2025-09-20,Uttar Pradesh,Kanpur Nagar,209206,15,-0.014375558748203066
2025-09-20,Uttar Pradesh,Shamli,247774,34,-0.007497534326680433
2025-09-20,West Bengal,Uttar Dinajpur,733207,39,-0.03123162318390882
2025-09-20,Maharashtra,Nashik,423203,56,-0.08495003162280579
2025-09-20,Maharashtra,Thane,401107,39,-0.06554915547618168
2025-09-20,Bihar,Saran,841301,20,-0.009388125274920167
2025-09-20,Gujarat,Banaskantha,385535,36,-0.018506503108535854
2025-09-20,Jharkhand,Lohardaga,835302,23,-0.007768407951752709
2025-09-20,Madhya Pradesh,Indore,452001,18,-0.012720129758238885
2025-09-20,Madhya Pradesh,Umaria,484661,32,-0.010388407933352162
2025-09-20,Maharashtra,Thane,421302,64,-0.0808240825055263
2025-09-20,Uttar Pradesh,Aligarh,202001,23,-0.007276428314831107
2025-09-20,Uttar Pradesh,Bahraich,271855,20,-0.014825496426523532
2025-09-20,Uttar Pradesh,Bahraich,271902,20,-0.007237430140837664
2025-09-20,Uttar Pradesh,Siddharthnagar,272206,11,-0.004612191720600567
2025-09-20,West Bengal,Uttar Dinajpur,733202,51,-0.04418876782888648
2025-09-20,Jharkhand,Jamtara,815351,56,-0.04811588369972153
2025-09-20,Bihar,East Champaran,845433,19,-0.012155479279745696
2025-09-20,Chhattisgarh,Bijapur,494444,24,-0.012405958375311776
2025-09-20,Nagaland,Shamator,798628,22,-0.017334711122360735
2025-09-20,Uttar Pradesh,Kanpur Nagar,208001,36,-0.021345376821508943
2025-09-20,Uttar Pradesh,Meerut,250001,34,-0.018034476912723973
2025-09-20,Uttar Pradesh,Shahjahanpur,242001,32,-0.004149603071678665
2025-09-20,Jharkhand,Gumla,835207,33,-0.0160115238433709
2025-09-20,Bihar,Purnia,854330,26,-0.009787583530938226
2025-09-20,Bihar,West Champaran,845455,35,-0.047760447466979494
2025-09-20,Rajasthan,Jalor,343041,42,-0.023580383072182798
2025-09-20,Uttar Pradesh,Kheri,261501,25,-0.02110275404358819
2025-09-20,Uttar Pradesh,Meerut,250002,35,-0.02168047986962507
2025-09-20,Madhya Pradesh,Bhind,477001,23,-0.007768407951752709
2025-09-20,Madhya Pradesh,Sheopur,476337,21,-0.010458431961801407
2025-09-20,Maharashtra,Aurangabad,431001,44,-0.03736725590125489
2025-09-20,Maharashtra,Thane,400612,31,-0.005538428730386347
2025-09-20,Uttar Pradesh,Gautam Buddha Nagar,201301,48,-0.03896614082752381
2025-09-20,Uttar Pradesh,Ghaziabad,201102,38,-0.008790005683861679
2025-09-20,Uttar Pradesh,Shahjahanpur,242127,13,-0.000428227015764282
2025-09-20,Assam,Karimganj,788720,31,-0.004946576798893432
2025-09-21,West Bengal,Uttar Dinajpur,733207,26,-0.01373257272356787
2025-09-21,West Bengal,Uttar Dinajpur,733210,27,-0.018438032231845924
2025-09-21,Nagaland,Shamator,798628,18,-0.03270047998208769
2025-09-21,Maharashtra,Thane,421302,14,-0.01715134262257667
2025-09-22,Uttar Pradesh,Moradabad,244001,38,-0.025165606023492493
2025-09-22,Uttar Pradesh,Pilibhit,262001,26,-0.017071659328970035
2025-09-22,Uttar Pradesh,Saharanpur,247001,47,-0.043314505393023506
2025-09-22,Andhra Pradesh,Tirupati,517541,12,-0.028451192904442535
2025-09-22,Bihar,Katihar,855102,43,-0.041901534101976834
2025-09-22,Bihar,Nawada,805124,19,-0.004432331934445921
2025-09-22,Bihar,Saran,841301,28,-0.023545143008720126
2025-09-22,Gujarat,Banaskantha,385330,16,-0.011512815809612387
2025-09-22,Nagaland,Wokha,797111,26,-0.02211980512867151
2025-09-22,Madhya Pradesh,Chhatarpur,471405,13,-0.004098220160607902
2025-09-22,Meghalaya,West Khasi Hills,793119,27,-0.051747750339804166
2025-09-22,Uttar Pradesh,Kheri,261502,7,-0.0009317852076393685
2025-09-22,Uttar Pradesh,Meerut,250002,33,-0.0441759370661009
2025-09-22,West Bengal,Uttar Dinajpur,733210,42,-0.037184248965312916
2025-09-22,Uttar Pradesh,Bulandshahr,203001,33,-0.006750797811251097
2025-09-22,Maharashtra,Aurangabad,431001,41,-0.03364073159639902
2025-09-22,West Bengal,Uttar Dinajpur,733202,59,-0.062486595912014886
2025-09-22,West Bengal,Uttar Dinajpur,733207,33,-0.011813818896823758
2025-09-22,Bihar,Katihar,854317,39,-0.018455311366221028
2025-09-22,Bihar,Sitamarhi,843324,18,-0.013244447394460845
2025-09-22,Bihar,West Champaran,845307,15,-0.018776076338032133
2025-09-22,Uttar Pradesh,Gautam Buddha Nagar,201301,22,-0.025314490554029567
2025-09-22,Uttar Pradesh,Hardoi,241001,35,-0.020703047043332257
2025-09-22,Meghalaya,East Garo Hills,794111,18,-0.03764905880488323
2025-09-22,Nagaland,Shamator,798628,32,-0.005106651173225285
2025-09-22,Bihar,East Champaran,845302,16,-0.005820957198179877
2025-09-22,Bihar,East Champaran,845401,24,-0.020981706904399045
2025-09-22,Bihar,Sitamarhi,843302,23,-0.03470536811960756
2025-09-22,Gujarat,Banaskantha,385001,31,-0.008055723382092372
2025-09-22,Uttar Pradesh,Rampur,244901,25,-0.019277122690128934
2025-09-22,Madhya Pradesh,Jhabua,457661,66,-0.07631503787223226
2025-09-22,Maharashtra,Nashik,423203,41,-0.028031567428167925
